,id,city_code
3251,2036534036,13104
3252,2041750018,12212
3253,2041750156,12212
3254,2044188458,13114
3255,2045666717,13114
3256,2045666724,13115
3257,2047418933,15210
3258,2047419006,15210
3259,2047419100,15210
3260,2047419299,15210
3261,2047448697,15210
3262,2047448698,15210
3263,2047448715,15210
3264,2047448721,15210
3265,2047448723,15210
3266,2047448755,15210
3267,2047553739,13202
3268,2048964995,10211
3269,2048965148,10211
3270,2050604971,10211
3271,2050605046,10211
3272,2052367177,13215
3273,2053903647,11225
3274,2054377322,13115
3275,2054401116,10211
3276,2054401201,10211
3277,2054401269,10211
3278,2055323524,10211
3279,2055323712,10211
3280,2055324426,10211
3281,2055324759,10211
3282,2056812602,10211
3283,2057201310,12211
3284,2057891440,13120
3285,2060858090,10211
3286,2060858329,10211
3287,2060868643,10211
3288,2060868660,10211
3289,2060868755,10211
3290,2060868801,10211
3291,2061516205,11216
3292,2062758732,14152
3293,2063246686,12213
3294,2064032956,12213
3295,2064827815,15202
3296,2064888986,15202
3297,2064907999,15202
3298,2064990538,15202
3299,2064992638,15202
3300,2066743489,9201
3301,2066743511,9201
3302,2066743709,9201
3303,2067777557,12231
3304,2068035972,10204
3305,2068277889,10205
3306,2068277890,10205
3307,2068277891,10204
3308,2068277894,10204
3309,2069220934,12231
3310,2069221220,12231
3311,2070897320,10210
3312,2072244932,10210
3313,2074552480,9201
3314,2074852575,9201
3315,2074852582,9201
3316,2074852586,9201
3317,2074852592,9201
3318,2074852593,9201
3319,2074852658,9201
3320,2074852744,9201
3321,2074852783,9201
3322,2074852795,9201
3323,2075332700,10210
3324,2075333119,10210
3325,2075333218,10210
3326,2075333263,10210
3327,2075333397,10210
3328,2075333532,10210
3329,2075333836,10210
3330,2075333916,10210
3331,2075396128,10210
3332,2075396190,10210
3333,2076183379,15208
3334,2076183967,15208
3335,2077011378,10210
3336,2077011390,10210
3337,2077011437,10210
3338,2077011464,10210
3339,2077011566,10210
3340,2077011624,10210
3341,2077011902,10210
3342,2077011937,10210
3343,2077121517,9201
3344,2077121534,9201
3345,2077121722,9201
3346,2077121760,9205
3347,2078830598,10211
3348,2080698445,10209
3349,2080703990,10209
3350,2080705718,10209
3351,2080705817,10209
3352,2081294487,10208
3353,2081741860,9210
3354,2081756834,13120
3355,2082283272,9211
3356,2082755725,9211
3357,2082755838,9211
3358,2083207937,9215
3359,2083209566,9215
3360,2084619255,9204
3361,2084620469,9204
3362,2084630578,9204
3363,2085194585,9203
3364,2085196120,9203
3365,2085410617,8226
3366,2085761356,9344
3367,2086014378,9205
3368,2086014542,9205
3369,2086014596,9205
3370,2086479663,9361
3371,2086484599,9361
3372,2086637918,9407
3373,2086654005,9407
3374,2086662686,9407
3375,2087036163,8211
3376,2087036166,8211
3377,2087036170,8211
3378,2087036176,8211
3379,2087036179,8211
3380,2087036180,8211
3381,2087036184,8211
3382,2087036190,8211
3383,2087036214,8211
3384,2087036231,8211
3385,2087036257,8211
3386,2087036262,8211
3387,2087036271,8211
3388,2087036278,8211
3389,2087036300,8211
3390,2087036310,8211
3391,2087036313,8211
3392,2087036324,8211
3393,2087036333,8211
3394,2087036335,8211
3395,2087120257,13119
3396,2087120262,13119
3397,2087120267,13119
3398,2087120288,13119
3399,2087120291,13119
3400,2087284683,8230
3401,2087290690,8230
3402,2087956947,8205
3403,2087971651,8205
3404,2087973855,8205
3405,2088000320,8205
3406,2088052392,8215
3407,2088226822,8227
3408,2088226826,8227
3409,2088226845,8227
3410,2088226850,8227
3411,2088226853,8227
3412,2088226856,8227
3413,2088241012,15202
3414,2088298043,8215
3415,2088478305,8216
3416,2088480462,8216
3417,2088482039,8216
3418,2088487036,8216
3419,2088492836,8216
3420,2088492902,8216
3421,2089369162,8217
3422,2089371951,8217
3423,2089450920,8221
3424,2089451408,8221
3425,2089451576,8221
3426,2089459857,8221
3427,2089837900,8222
3428,2089838141,8222
3429,2089838384,8222
3430,2089844692,8222
3431,2089957670,8225
3432,2090034487,8225
3433,2090040579,8225
3434,2090047306,8225
3435,2090060605,8225
3436,2090098223,8225
3437,2090887490,8226
3438,2090891634,8226
3439,2090894971,8226
3440,2090895555,8226
3441,2090895964,8226
3442,2090897307,8226
3443,2090898673,8226
3444,2090902860,8226
3445,2090904299,8226
3446,2090905365,8226
3447,2091092456,8231
3448,2091106095,8231
3449,2091108582,8231
3450,2091109042,8231
3451,2091109803,8231
3452,2091110802,8231
3453,2091402017,13119
3454,2091738678,8232
3455,2091834126,15210
3456,2093711149,8227
3457,2093711416,8227
3458,2093854417,8227
3459,2093854418,8227
3460,2093854421,8227
3461,2093854426,8227
3462,2093854429,8227
3463,2093854432,8227
3464,2093854433,8227
3465,2093854439,8227
3466,2093854440,8227
3467,2093854442,8227
3468,2093854444,8227
3469,2093854448,8227
3470,2093854450,8227
3471,2093854452,8227
3472,2093854459,8227
3473,2093854462,8227
3474,2093854477,8227
3475,2093854481,8227
3476,2093854482,8227
3477,2094314566,8227
3478,2094314573,8227
3479,2094363402,8227
3480,2094363419,8227
3481,2095133045,13119
3482,2095738102,13111
3483,2095738104,13111
3484,2097888883,13206
3485,2098974549,12202
3486,2099074837,9342
3487,2099074840,9342
3488,2099074842,9342
3489,2099074853,9342
3490,2099074854,9342
3491,2099081876,13108
3492,2100086702,9206
3493,2100086747,9206
3494,2100087122,9206
3495,2100673707,9204
3496,2101763265,9215
3497,2103001960,9215
3498,2103001962,9215
3499,2103002012,9215
3500,2103002048,9215
3501,2103002073,9215
3502,2103534309,10207
3503,2104848276,10207
3504,2104935994,10207
3505,2104935997,10207
3506,2104936307,10207
3507,2105415997,10207
3508,2105416002,10207
3509,2105416040,10207
3510,2105416113,10207
3511,2106452059,10207
3512,2106452276,10207
3513,2110016064,10207
3514,2110132278,10207
3515,2112179559,13111
3516,2116690831,13205
3517,2126649731,10205
3518,2126649864,10205
3519,2126649914,10205
3520,2126650130,10205
3521,2126958481,11206
3522,2126958483,11206
3523,2130813227,8231
3524,2130813279,8231
3525,2130813282,8231
3526,2130813291,8231
3527,2130813305,8231
