,pre_code,prefecture
0,13,東京都
1,10,群馬県
2,8,茨城県
11,9,栃木県
30,14,神奈川県
45,11,埼玉県
61,12,千葉県
126,19,山梨県
198,7,福島県
206,15,新潟県
819,20,長野県
