,id,railway_id
0,252181867,161930462
1,253116588,25549522
2,263169603,24296449
3,263170322,24296449
4,263170973,24296449
5,263171654,24296449
6,263173769,24296449
7,263173775,24296449
8,263174169,24296449
9,263174638,24296449
10,264406105,24370419
11,264414272,24371130
12,264414312,24371130
13,264414398,24371130
14,264414427,24371130
15,264414933,24371130
16,264414945,24371130
17,264414962,24371130
18,264811005,24398665
19,264817640,24399090
20,264880677,24402676
21,264887159,24403223
22,264887203,24403223
23,264887412,24403223
24,264890032,24403223
25,264890309,24403223
26,264890326,24403223
27,264890521,24403223
28,276598197,25801953
29,280497227,25721964
30,280497653,25721964
31,281366090,37235959
32,281366385,238814403
33,281367199,37235959
34,281367943,37235959
35,281369098,37235959
36,281417172,25801953
37,281417757,25801953
38,281441695,25801953
39,281469984,60607664
40,281471393,60607664
41,286932803,26204605
42,286932875,26204605
43,286932984,26204605
44,287277278,60607664
45,288166256,24015496
46,295063523,25801953
47,298987497,37235959
48,302041895,24475070
49,302046097,24475070
50,304159066,107127773
51,305546807,27828733
52,305546892,27828733
53,305547612,27828733
54,307676081,175846080
55,308226692,25801953
56,309037541,26204605
57,310387533,741914521
58,310387535,25801953
59,312078631,212758785
60,315863803,25801953
61,322038004,22788143
62,322447002,24370419
63,331425426,22788143
64,344230687,26204605
65,344907542,240605904
66,344931542,26204605
67,345148090,22788143
68,345153737,22788143
69,346856897,26204605
70,346861195,26204605
71,346862876,26204605
72,346865866,26204605
73,346867078,26204605
74,346868250,26204605
75,346873413,28728093
76,349080701,26204605
77,349119754,26204605
78,350055294,175846080
79,350058120,175846080
80,352755433,26204605
81,353287796,1231657112
82,355572815,175846080
83,355573617,175846080
84,356626404,26204605
85,356907980,24398899
86,358450250,37235959
87,358988147,37235959
88,359010138,175846080
89,360201376,25801953
90,360201779,25801953
91,360202148,25801953
92,360546990,26204605
93,360605485,28728093
94,360620346,28728093
95,360622957,28728093
96,360661318,28728093
97,360661318,47195914
98,361105298,24475024
99,364424128,28728093
100,364643447,26204605
101,365293874,175846080
102,366198526,175846080
103,366200310,175846080
104,366497801,27828733
105,366644834,240605904
106,369662273,82278278
107,369787454,37235959
108,369787623,37235959
109,374103151,37235959
110,374106517,37235959
111,379357040,28728093
112,379362434,28728093
113,380493223,37235959
114,380517766,37235959
115,380542634,155269538
116,381131962,26204605
117,382041795,175846080
118,384040708,28728093
119,384053790,28728093
120,384332661,37235959
121,384336817,37235959
122,384339916,37235959
123,384359579,25801953
124,385026898,24398899
125,393124691,25721964
126,393140555,24399334
127,410459457,28728093
128,410751294,22735744
129,426836321,151300195
130,426888734,22735744
131,427596731,175846080
132,429505763,37235959
133,429712447,25801953
134,429722990,25801953
135,429764681,25801953
136,430092650,175846080
137,432853515,37235959
138,433596409,37235959
139,433682863,37235959
140,433690125,37235959
141,433724613,37235959
142,434420083,25721964
143,442981087,24398899
144,444401700,22788143
145,448170398,37235959
146,461618219,25721964
147,469773759,37235959
148,472822807,25549522
149,472839337,27828733
150,472845356,161930462
151,476502190,27188118
152,476502902,27188118
153,476663068,22735744
154,484504274,26204605
155,503889337,41235092
156,503890612,41235092
157,506091650,175846080
158,519877903,175846080
159,528610050,37235959
160,528723500,37235959
161,537646090,37235959
162,538953447,37235959
163,549943016,37235959
164,550998092,22788143
165,558886751,24370419
166,564652892,37235959
167,564679271,37235959
168,564683298,37235959
169,573160940,22788143
170,573263650,37235959
171,588382143,24398899
172,588384811,24398899
173,588411766,24398899
174,588418778,24398899
175,588653618,24398899
176,595796178,28728093
177,598384075,28728093
178,598515219,37235959
179,601463306,47195914
180,601597513,175846080
181,603054338,24398899
182,604243933,26204605
183,604347730,24475024
184,618591679,25721964
185,618623779,25801953
186,618630501,25801953
187,638244045,22735744
188,638957685,28728093
189,647813174,175846080
190,648752413,25801953
191,655135958,26204605
192,656317386,25721964
193,656317413,25721964
194,665236829,24398899
195,665873835,37235959
196,674651501,25721964
197,699743894,24403223
198,720441954,24294402
199,734858734,24370419
200,734882620,24370419
201,736463383,24370419
202,736463419,24370419
203,736482224,24370419
204,752178794,60786425
205,764747643,24370419
206,766774766,24294402
207,767609666,24370419
208,823878873,24403223
209,858542168,24399334
210,858927868,25721964
211,860789018,24294402
212,872022714,27828733
213,872029059,25549522
214,878870298,175846080
215,879607043,24302093
216,897455552,175846080
217,925562874,82278278
218,925575747,24294535
219,925989987,24294535
220,926471591,24398899
221,926486513,24398899
222,926501437,24398899
223,943379155,37235959
224,978985194,37235959
225,980051544,24398899
226,999707396,24398899
227,1000833103,24398899
228,1000849147,24398899
229,1002306998,24302093
230,1021828847,22917652
231,1030731701,175846080
232,1036800493,22729845
233,1051806876,176728801
234,1051806896,176728801
235,1051806917,176728801
236,1060655110,24399334
237,1072745411,27828733
238,1072745456,27828733
239,1081989756,24302093
240,1091293785,26204605
241,1091704515,24475070
242,1104523164,24370419
243,1104740095,24370419
244,1116474108,24353308
245,1116959857,96382972
246,1119971894,24353308
247,1119971907,24353308
248,1145456831,107127773
249,1156436833,25721964
250,1172465289,24294535
251,1213084265,24402676
252,1215343192,24370419
253,1219056754,24398899
254,1231657117,107127773
255,1236852263,24294402
256,1270306512,1231657119
257,1273121393,25801953
258,1278989265,25721964
259,1292282187,24302539
260,1293009889,24475070
261,1304248527,24302093
262,1304352604,37235959
263,1312648522,175846080
264,1314263052,60607664
265,1314291433,60607664
266,1314791201,24403223
267,1314792221,24403223
268,1316150201,60607664
269,1319736832,24370835
270,1321900801,24398899
271,1340406714,231541944
272,1348943643,24353308
273,1348967059,24353308
274,1352659489,37235959
275,1354102628,37235959
276,1364687244,25721964
277,1366840509,240605904
278,1384346742,24294402
279,1385018915,24294402
280,1389192930,225338468
281,1389192936,225338468
282,1399951332,24475070
283,1402218613,240605904
284,1412683882,22788143
285,1412685193,22788143
286,1416230236,240605904
287,1429715964,24459046
288,1436626065,37235959
289,1441130094,25801953
290,1444339096,54936286
291,1446668750,24353308
292,1452178030,175846080
293,1453378423,24371130
294,1453378424,24371130
295,1477423343,161930462
296,1481419475,60786425
297,1483050220,27188118
298,1483050238,27188118
299,1484551106,81187317
300,1484551149,81187317
301,1484551322,155269538
302,1484551326,155269538
303,1487352235,24398899
304,1489271986,24403223
305,1489272005,24403223
306,1489291664,24371130
307,1489291752,24371130
308,1489560835,25721964
309,1490059715,161930462
310,1490059762,161930462
311,1491010405,24371130
312,1492033575,24371130
313,1493880630,24398665
314,1493880638,24399090
315,1500926194,27188118
316,1500926232,27188118
317,1503600303,41234748
318,1503600310,27188118
319,1517858200,24398899
320,1525456609,24370419
321,1525456620,24370419
322,1525456623,24370419
323,1525456635,24370419
324,1525456795,24296449
325,1531335862,25801953
326,1555530184,54936286
327,1569749506,37235959
328,1569750409,37235959
329,1569750596,37235959
330,1578848945,25721964
331,1581764640,155269540
332,1583780001,27828733
333,1583780118,27828733
334,1583780165,27828733
335,1596377919,24371130
336,1612649006,24371130
337,1620541011,225338468
338,1625336623,24398899
339,1641216438,151300195
340,1641216653,151300195
341,1641216990,151300195
342,1641217143,151300195
343,1641217186,151300195
344,1641243808,151300195
345,1642012191,151300195
346,1642012372,199907717
347,1642012378,151300195
348,1646028739,151300195
349,1646028753,151300195
350,1646028765,151300195
351,1646028782,151300195
352,1646028793,151300195
353,1646028798,151300195
354,1647001505,151300195
355,1647002185,151300195
356,1651470041,25801953
357,1654397171,41235092
358,1654397648,41235092
359,1656585875,41235092
360,1674592883,24398899
361,1675820252,24398899
362,1675820342,24398899
363,1676749742,155269538
364,1679191678,25721964
365,1691972447,25721964
366,1714616791,1231657101
367,1719469183,24398665
368,1722409855,22729845
369,1726122277,231541944
370,1748265191,24353308
371,1759563326,24371130
372,1767515358,24475070
373,1771554677,144947303
374,1771554702,144947303
375,1772054949,144947303
376,1772054955,144947303
377,1772833482,144947303
378,1784735108,24302539
379,1798899754,66208534
380,1803240578,25801953
381,1815793501,27188118
382,1816299157,24398665
383,1816392895,24399090
384,1817870900,24399090
385,1825247458,22788143
386,1826041306,27828733
387,1865485959,25801953
388,1871844389,24398665
389,1920553106,24475070
390,1927560456,22735744
391,1928228602,24399334
392,1935303121,24398665
393,1935303123,24398665
394,1936842965,23126083
395,1985189867,31783412
396,2007785976,24398665
397,2019351389,151300195
398,2029198330,31783412
399,2033075213,31783412
400,2049266244,24398665
401,2050604942,24398665
402,2066744028,24353308
403,2066744042,24402676
404,2067778332,22788143
405,2074852797,24370835
406,2074852800,24370835
407,2074852803,24402676
408,2074852804,24402676
409,2077649206,24399090
410,2078670722,24475070
411,2078847329,24475070
412,2078847445,24475070
413,2088486583,24370858
414,2089958786,24296449
415,2090178236,96382972
416,2090178237,96382972
417,2090889350,24296449
418,2090907430,24296449
419,2110017122,24475070
420,2112173019,107127773
421,2112174939,107127773
422,2112176378,107127773
423,2120114709,27188118
424,2121015424,68419459
425,2121015431,68419459
426,2145027904,24475070
427,2145027915,24475070
428,2145027916,24475070
429,2145027936,24475070
430,2145027955,24475070
431,2145028033,24475070
432,2145028035,24475070
433,2145028039,24475070
434,2145028041,24475070
435,2145028043,24475070
436,2145028045,24475070
437,2145028052,24475070
438,2145028081,24475070
439,2145130287,107127773
440,2145130304,107127773
441,2145130472,107127773
442,2145130476,107127773
443,2145130481,107127773
444,2145130702,107127773
445,2145130710,107127773
446,2145130713,107127773
447,2145130758,107127773
448,2145130786,107127773
449,2145130788,107127773
450,2145130791,107127773
451,2145295058,107127773
452,2145295228,107127773
453,2145295298,107127773
454,2146060814,24403223
455,2146061152,24403223
456,2147126471,24403223
457,2148890846,240605904
458,2164598393,24371130
459,2164598589,24371130
460,2164598950,24371130
461,2191634643,24402676
462,2191634663,24402676
463,2191634681,24402676
464,2193347353,24402676
465,2193347536,24402676
466,2193347665,24402676
467,2193347721,24402676
468,2194382364,24370858
469,2201804951,24370858
470,2202950687,81187317
471,2208187919,24994977
472,2212009214,24371130
